Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
26,mCore_BinsTreeDetails,All-Masters,Details of Bin tree,\Home\Masters\Bins,"mCore_Bins 
mCore_BinsTree",iTreeId,iTreeId                                           iMasterid
27,mCore_BinsTreeFields,All-Masters,Bin field details,\Home\Masters\Bins,"cCore_MasterFields 
mCore_BinsTree 
",itreeid,iTreeId                                            iSequence
28,mCore_BuyingPriceBookDetails,All-Masters,Declared Data of buyer price book,\Home\Masters\Product\BuyerPriceBook,"mCore_Currency
mCore_BuyingPriceBookHeader 
mCore_Product 
",iSequenceNumber,iCurrency                    iPriceBookId                   iProductId  
29,mCore_BuyingPriceBookHeader,All-Masters,Header Details of all the Declared Buyer Price Books ,\Home\Masters\Product\BuyerPriceBook,mCore_BuyingPriceBookDetails,iPriceBookId,iPriceBookId
30,mCore_City,All-Masters,City master Data,\Home\Masters\City,"mSec_Users 
mSec_Users 
mCore_CityLanguage
mCore_CityTreeDetails 
 muCore_Account_Details  
muPay_Employee_ContactDetails  muPos_Member_ContactDetails                    muPos_Outlet",iMasterId,iCreatedBy                                                                                  iModifiedBy                             iMasterid                                   iParentId                                        iCity                                        iDeliveryCity                                                      
31,mCore_CityLanguage,All-Masters,Table stores languages in Alias for city master,\Home\Masters\City,"cCore_LanguageSupported
mCore_City ",iMasterId                                  iLanguageId,iLanguageId                                       iMasterid
32,mCore_CityTree,All-Masters,Stores City tree structure,\Home\Masters\City,"mCore_CityTreeDetails
mCore_CityTreeFields",itreeid,iTreeId
33,mCore_CityTreeDetails,All-Masters,Stores city tree details,\Home\Masters\City,mCore_City                                                     mCore_CityTree ,iTreeId,iMasterId                                  iTreeId                                     iParentId
34,mCore_CityTreeFields,All-Masters,Contains tree fields data,\Home\Masters\City,cCore_MasterFields                                       mCore_CityTree ,itreeid                                              iSequence,itreeid                                              iSequence                                         iFieldId
35,mCore_CloseCompany,All-Masters,Stores data of the company that filed closure for  fiscal year,\Home\Company\YearEndProcess\CloseCompany,_mCore_CloseCompanyDetails,iCloseCompanyId,iCloseCompanyId
36,mCore_CloseCompanyDetails,All-Masters,Stores additional information of closed company,\Home\Company\YearEndProcess\CloseCompany                                                           ,mCore_CloseCompany,iCloseCompanyId,iCloseCompanyId
37,mCore_Company,All-Masters,General company information ,\Home\Company\NewCompany\CreateNewCompany,tCore_Company_Details,iCompanyId,iCompanyId
38,mCore_Company_RegistrationDetails,All-Masters,Customized Tab to stored additional information about company,\Home\Company\EditCompany\FieldCustomization->AddTab,,iCompanyId,
39,mCore_CostCenter,All-Masters,Stores cost center info,\Home\Masters\CostCenter,"mSec_Users                                                                                          mCore_CostCenterLanguage 
mCore_CostCenterTreeDetails
muMrp_WorkCenter_Capacity_Details",iMasterId,iModifiedBy                  iCreatedBy                     iCostCenter                      iParentId 
40,mCore_CostCenterLanguage,All-Masters,Alias info in alternate language,\Home\Masters\CostCenter,"cCore_LanguageSupported 
mCore_CostCenter",iMasterId                                  iLanguageId,iMasterId                                  iLanguageId
41,mCore_CostCenterTree,All-Masters,Cost center tree structure,\Home\Masters\CostCenter,"mCore_CostCenterTreeDetails
mCore_CostCenterTreeFields",iTreeId,iTreeId
