Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
91,cCore_RDVirtual_0,ALL-Customization Data,RDVirtual is virtual grouping of report field in report designer such as defining a virtual set for products to be displayed in report. This tables contains Rdvirtual grouping data ,\Home\Utilities\ReportDesigner\Create Report->Next->Right Click on field on which grouping is required in report and Select Create virtual Grouping,cCore_RDVirtualCondition_0,iVirtualId,iVirtualId
92,cCore_RDVirtualCondition_0,ALL-Customization Data,Stores Virtual condition for grouping in RD ,\Home\Utilities\ReportDesigner\Create Report->Next->Right Click on field on which grouping is required in report and Select Create virtual Grouping,"Core_RDVirtual_0                        cCore_RDVirtualRange_0
cCore_RDVirtualValue_0",iConditionId,iVirtualId                                    iConditionId
93,cCore_RDVirtualRange_0,ALL-Customization Data,Stores information of virtual range from which data is selected in virtual condition ,\Home\Utilities\ReportDesigner\Create Report->Next->Right Click on field on which grouping is required in report and Select Create virtual Grouping->Set Range,cCore_RDVirtualCondition_0 ,iId,iConditionId
94,cCore_RDVirtualValue_0,ALL-Customization Data,Stores data of RDVirtual condition based on field value,\Home\Utilities\ReportDesigner\Create Report->Next->Right Click on field on which grouping is required in report and Select Create virtual Grouping->Set Range,cCore_RDVirtualCondition_0 ,iId,iConditionId
95,cCore_RegularExpressions,ALL-Customization Data,Stores regular expressions data for any field.,Create any field->Regular Expression,,iRegexId,
96,cCore_RepFolder_0,ALL-Customization Data,Stores excel report file data,\Home\Utilities\ReportDesigner->Set DataSet as Excel->Define Path of excel file,cCore_Reports_0 ,iFolderId,iReportId
97,cCore_ReportColumns_0,ALL-Customization Data,Stores report columns data,\Home\Utilities\ReportDesigner,"cCore_ReportLayouts_0 
cCore_ReportColumnsFilter_0
cCore_ReportColumnsFunction_0",iColumnId,iLayoutId                                      iColumnId
98,cCore_ReportColumnsFilter_0,ALL-Customization Data,Stores report column filter data,\Home\Utilities\ReportDesigner,cCore_ReportColumns_0 ,iColumnId,iColumnId
99,cCore_ReportColumnsFunction_0,ALL-Customization Data,Stores report column function data,\Home\Utilities\ReportDesigner,"
cCore_ReportColumns_0 ",iFunctionId,iColumnId
100,cCore_ReportColumnsOrder_0,ALL-Customization Data,Stores data of the order of columns,\Home\Utilities\ReportDesigner->Create Cube Report ,,iOrderId,
101,cCore_ReportFilter_0,ALL-Customization Data,Report filter condition data,\Home\Utilities\ReportDesigner,,iFilterId                        iFilterGroupId,
102,cCore_ReportFormatting_0,ALL-Customization Data,Contains report formatting data,\Home\Utilities\ReportDesigner,,iConditionId,
103,cCore_ReportGrouping_0,ALL-Customization Data,Reports grouping data,\Home\Utilities\ReportDesigner->Create Cube Report ,cCore_Reports_0 ,iRowGroupId,iReportId
104,cCore_ReportLayouts_0,ALL-Customization Data,Report layouts,\Home\Utilities\ReportDesigner,"cCore_Reports_0                             cCore_ReportColumns_0
cCore_ReportUserSecurity_0",iLayoutId,iReportId
105,cCore_ReportParameter_0,ALL-Customization Data,Reports parameter data,\Home\Utilities\ReportDesigner,cCore_Reports_0 ,iParameterId,iReportId
106,cCore_Reports_0,ALL-Customization Data,The data of all the reports created in Application are stored in this table ,\Home\Utilities\ReportDesigner,"mSec_Users 
cCore_RDQuery_0
cCore_RepFolder_0
cCore_ReportGrouping_0
cCore_ReportLayouts_0
cCore_ReportParameter_0
cCore_ReportTransactionSet_0
cCore_ReportUser_0",iReportId,iCreatedBy                                   iModifiedBy                                    iReportId
107,cCore_ReportSchedule_0,ALL-Customization Data,Stores scheduled reports information,\Home\Utilities\ReportDesigner,,iId,
108,cCore_ReportTopClause_0,ALL-Customization Data,Stores report sorting information ,"\Home\Utilities\ReportDesigner\Customization\Sorting->Select the columns and perform sorting based on top,bottom or none clause",,iClauseId,
109,cCore_ReportTransactionSet_0,ALL-Customization Data,Stores financial transaction set details ,\Home\Utilities\ReportDesigner,cCore_Reports_0 ,iTranId,iReportId
110,cCore_ReportUser_0,ALL-Customization Data,Data of users who can access reports,\Home\Utilities\ReportDesigner,"
cCore_Reports_0 ",iFilterGroupId,iReportId
111,cCore_ReportUserSecurity_0,ALL-Customization Data,Stores users access rights based on report layout,\Home\Utilities\ReportDesigner,"cCore_ReportLayouts_0 
",iId,iLayoutId
112,cCore_Ribbon,ALL-Customization Data,Stores form based ribbon  data--Internal Table,Not Applicable,mSec_Users ,iRibbonId,iUserId
113,cCore_RibbonButtons,ALL-Customization Data,Stores form based ribbon  data--Internal Table,Not Applicable,cCore_RibbonGroups ,iButtonId,iGroupId
114,cCore_RibbonGroups,ALL-Customization Data,Stores form based ribbon  data--Internal Table,Not Applicable,cCore_Ribbon ,iGroupId,iRibbonId
115,cCore_RuleAlert,ALL-Customization Data,Displays information of rule alert for a field,Select a master or voucher field->Rule->Alerts->Define Alert,cCore_RulesConditions ,iRuleAlertId,iRuleConditionId                          iRuleAletrId
116,cCore_RuleConditionalFormating,ALL-Customization Data,Stores rule based condition formatting data for a field ,Select a master or voucher field->Rule->Give Condition->Set formatting,cCore_RulesConditions ,iRuleCondFormatId,iRuleConditionId
117,cCore_Rules,ALL-Customization Data,Stores rule information defined in focus8,select a field or voucher->Rules,cCore_RulesConditions,iRuleId,iRuleId
118,cCore_RulesConditions,ALL-Customization Data,Stores rule based condition for a field,Select a master or voucher field->Rule->Give Condition,"
cCore_Rules 
cCore_RuleAlert
cCore_RuleConditionalFormating
cCore_RulesConditionsDetails",iRuleConditionId,iRuleConditionId                         iRuleId
119,cCore_RulesConditionsDetails,ALL-Customization Data,Stores condition statement and other details for a rule ,Select a master or voucher field->Rule->Give Condition,"
cCore_RulesConditions 
",iRuleConditionDetId    iRuleConditionId,iRuleConditionId
120,cCore_ScriptHelp,ALL-Customization Data,"Stores helptext information fields such as iScriptHelpId,sTopic,sFunctionName,sHelpText,sFunctionText",,,iScriptHelpId,
121,cCore_SettingAuditLog_0,ALL-Customization Data,Settings audit log data,Select any voucher->settings,"
tSec_UserLog 
cCore_SettingAuditLogDetails_0",iAuditId,iAuditId                                                  iSessionId
122,cCore_SettingAuditLogDetails_0,ALL-Customization Data,"Stores settings audit log details such as iLogId,iAuditId,iCategoryId,iFieldId,sValue",Select any voucher->settings,"
cCore_SettingAuditLog_0 
",iLogId,iAuditId
123,cCore_Shortcut,ALL-Customization Data,Stores shortcut menu data on Focus8 home screen,Home Screen->ShortCut,,iUserId                                             iMenuId,
124,cCore_TaskSchedule,ALL-Customization Data,Stores task schedule menu data on Focus8 home screen,Home Screen->Task Schedule,cCore_TaskScheduleOption,iTaskScheduleId   ,iTaskScheduleId   
125,cCore_TaskScheduleOption,ALL-Customization Data,Stores task schedule menu options data on Focus8 home screen,Home Screen->Task Schedule,"cCore_TaskSchedule 
",iOptionId,iTaskScheduleId
126,cCore_TemplateFields,ALL-Customization Data,"Contains alerts based template fields that can be send to alert assigned users with the help of sms,email etc",Select any master or voucher->Rule->Alerts->CustomizeTemplate->Select template type,,iTemplateId,
127,cCore_TransHomeCustomization_0,ALL-Customization Data,Stores customization information of transaction home screen views,Select any transaction->At home screen->Press  Customize Voucher option,cCore_TransHomeView_0 ,iViewId,iViewId
128,cCore_TransHomeView_0,ALL-Customization Data,Stores created views data for transaction home screen,Select any transaction->At home screen->View->Press Create option,"cCore_Vouchers_0 cCore_TransHomeCustomization_0
cCore_TransHomeViewFilter_0",iViewId,iViewId                               iVoucherType
129,cCore_TransHomeViewFilter_0,ALL-Customization Data,Stores filter condition data for the transaction home screen view,Select any transaction->At home screen->View->Press Edit option->Set filter condition ,cCore_TransHomeView_0 ,iViewId,iViewId
130,cCore_TreeCustomization,ALL-Customization Data,The table stores the tree fields that are selected to be displayed in the masters screen. ,\Home\Masters->Select Master->Tools->CustomizeTree,cCore_MasterDef ,iMasterTypeId,iMasterTypeId
131,cCore_TreeView,ALL-Customization Data,Stores Tree view information for masters, \Home\Masters\Select Any Master->Create or Edit View                          ,"cCore_MasterDef 
cCore_ViewConditions",iTreeId,iTreeId                                            iMasterTypeId
132,cCore_UniqueConstraints,ALL-Customization Data,Stores unique constraints declared in masters,\Home\Settings\ConfigureMaster->Select master->Customize->UniqueConstrains,cCore_MasterDef                         cCore_ConstraintsFields,iConstraintId,iConstraintId                      iMasterTypeId 
133,cCore_UserWiseDefaultDashboard,ALL-Customization Data,Stores default dashboard values for all users,Click Select Dashboard,,iUserId,
134,cCore_ViewConditions,ALL-Customization Data,Stores condition data placed in view, \Home\Masters\Select Any Master->Create or Edit View->Set Filter Condition                                  ,"cCore_Fields 
cCore_TreeView                                          cCore_MasterDef",iMasterId                                  iTreeId           ,iMasterId                               iTreeId                                                IFieldId
135,cCore_ViewPBCustomization,ALL-Customization Data,Stores PriceBook view data, \Home\Masters\Product\BuyerPriceBook                                          \Home\Masters\Product\SellerPriceBook                          ,,iScreenTypeId,
136,cCore_VoucherDependentMaster_0,ALL-Customization Data,Stores dependency data for a master aligned to voucher,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Documents,cCore_Vouchers_0 ,iId,iVoucherType
137,cCore_VoucherExportFields_0,ALL-Customization Data,Stores Vouchers export fields data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->ExportFields,cCore_Vouchers_0 ,iVoucherType,iVoucherType
138,cCore_VoucherExportSettings_0,ALL-Customization Data,Stores additional setting of voucher export fields,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->ExportFields,cCore_Vouchers_0 ,iVoucherType,iVoucherType
139,cCore_VoucherFieldIncrement_0,ALL-Customization Data,Field value increment data related to vouchers,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher,,iFieldId,
140,cCore_VoucherFields_0,ALL-Customization Data,Stores voucher specific layout fields data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Layout,"cCore_Fields 
cCore_Vouchers_0
cCore_VoucherFilterConditionDetails_0 ",iUniqueId,iVoucherType                              iFieldId
141,cCore_VoucherFilterConditionDetails_0,ALL-Customization Data,Voucher filter condition details,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Rules,cCore_VoucherFields_0 ,iFieldId,iField
142,cCore_VoucherHP_0,ALL-Customization Data,Voucher specific hire purchase data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->HirePurchase,"
cCore_Vouchers_0 
mCore_Account ",iVoucherType,iVoucherType                              iMasterId(mCore_Account)
143,cCore_VoucherInfoPanel_0,ALL-Customization Data,Stores info panel information related to vouchers,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,cCore_VoucherPanels_0 ,IPanelId,IPanelId
144,cCore_VoucherMasters_0,ALL-Customization Data,Stores masters selected for the voucher screen,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Documents,"cCore_MasterDef 
cCore_Vouchers_0 ",iVoucherType,iVoucherType                           iMasterType
145,cCore_VoucherPanelFilterTransOn_0,ALL-Customization Data,Voucher info panel specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,"cCore_MasterDef 
cCore_VoucherPanels_0 ",IPanelId,iFilterTransOn                         iPanelId
146,cCore_VoucherPanelRefreshOn_0,ALL-Customization Data,Voucher info panel specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,cCore_VoucherPanels_0 ,IPanelId,IPanelId
147,cCore_VoucherPanelReports_0,ALL-Customization Data,Voucher info panel specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,"cCore_VoucherPanels_0 
cCore_VoucherPanelRepVTypes_0",iPanelReportId,iPanelReportId                     iPanelId
148,cCore_VoucherPanelRepVTypes_0,ALL-Customization Data,Voucher info panel specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,cCore_VoucherPanelReports_0          cCore_Vouchers_0 ,iPanelReportId,iPanelReportId               iVoucherType
149,cCore_VoucherPanelRoles_0,ALL-Customization Data,Voucher info panel specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,cCore_VoucherPanels_0                       mSec_RoleHeader ,IPanelId,IPanelId                                        iRoleId
150,cCore_VoucherPanels_0,ALL-Customization Data,Voucher info panel specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,"cCore_Vouchers_0                cCore_VoucherInfoPanel_0 cCore_VoucherPanelFilterTransOn_0 cCore_VoucherPanelRefreshOn_0 cCore_VoucherPanelReports_0 cCore_VoucherPanelRoles_0
cCore_VoucherPanelUsers_0
cCore_VoucherPanelVoucherTypes_0",iPanelId                             iVoucherType,iPanelId                             iVoucherType
151,cCore_VoucherPanelUser_0,ALL-Customization Data,Voucher info panel specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,cCore_VoucherPanels_0                                        mSec_Users ,iPanelId                                       iuserId,iPanelId                                       iuserId
152,cCore_VoucherPanelVoucherTypes_0,ALL-Customization Data,Voucher info panel specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->InformationPanel,cCore_VoucherPanels_0                        cCore_Vouchers_0 ,iPanelId                             iVoucherType,iPanelId                             iVoucherType
153,cCore_VoucherReports_0,ALL-Customization Data,Voucher reports specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Reports,cCore_MasterDef                                     cCore_Vouchers_0 ,iId,iMasterId                                     iVoucherType
154,cCore_Vouchers_0,ALL-Customization Data,Stores voucher data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher or                      Directly the menu path,"cCore_Vouchers_0                 cCore_DocumentSetHeader_0
cCore_TransHomeView_0
cCore_VoucherDependentMaster_0
cCore_VoucherExportFields_0
cCore_VoucherExportSettings_0
cCore_VoucherFields_0
cCore_VoucherHP_0
cCore_VoucherHP_0
cCore_VoucherMasters_0
cCore_VoucherPanelRepVTypes_0
cCore_VoucherPanels_0
cCore_VoucherPanelVoucherTypes_0
cCore_VoucherReports_0 cCore_VoucherScheme_0 cCore_VoucherScreenFields_0
cCore_VoucherSeries_0
cCore_VoucherTriggers_0
cCore_VoucherViews_0
cPos_HeaderExtraFields
mCore_LinkNodes_0
tCore_TransAuditLog_0                                               tCore_Header_0                                 ",iVoucherType,iVoucherType
155,cCore_VoucherScheme_0,ALL-Customization Data,Stores voucher based schemes specific data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Scheme,dbo.cCore_Vouchers_0 ,Id,iVoucherType
156,cCore_VoucherScreenFields_0,ALL-Customization Data,Stores voucher screen fields data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->EditScreen,cCore_Fields                                              cCore_Vouchers_0 ,iUniqueId,iFieldId                                    iVoucherType
157,cCore_VoucherSeries_0,ALL-Customization Data,Stores voucher document numbering body data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->DocumentNumbering,"
cCore_Vouchers_0 ",iVoucherType,iVoucherType
158,cCore_VoucherTriggers_0,ALL-Customization Data,Voucher based trigger data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Triggers,"cCore_Vouchers_0            cCore_VoucherTriggersFilter_0
cCore_VoucherTriggersFldMap_0
cCore_VoucherTriggers_0",iTriggerId,iVoucherType                                iTriggerId
159,cCore_VoucherTriggersFilter_0,ALL-Customization Data,Trigger filter condition based on field,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Triggers,cCore_VoucherTriggers_0 ,iTriggerId,iTriggerId
160,cCore_VoucherTriggersFldMap_0,ALL-Customization Data,Stores data of fields mapped in voucher triggers,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Triggers,cCore_VoucherTriggers_0 ,iTriggerId,iTriggerId
161,cCore_VoucherTriggersSendTo_0,ALL-Customization Data,Table refers the  users whom trigger is send,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Triggers,"iTriggerId
REFERENCES Focus80L0.dbo.cCore_VoucherTriggers_0 (iTriggerId)
iId",iId,iTriggerId
162,cCore_VoucherViewFields_0,ALL-Customization Data,Stores voucher view fields  data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Views,cCore_VoucherViews_0 ,iViewFieldId,iViewId
163,cCore_VoucherViewRoles_0,ALL-Customization Data,Stores voucher view roles data,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Views->Logins,"mSec_RoleHeader 
cCore_VoucherViews_0 ",iRoleId,iRoleId                                              iViewId
164,cCore_VoucherViews_0,ALL-Customization Data,Stores vioucher specific view. We see these view when we enter any voucher screen.,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Views,"cCore_Vouchers_0              cCore_VoucherViewFields_0
cCore_VoucherViewRoles_0 
cCore_VoucherViewUsers_0 cCore_VoucherViewUsers_0",iViewId,iVoucherType                                iViewId
165,cCore_VoucherViewUsers_0,ALL-Customization Data,Stores userId's that have accessibility to voucher views,\Home\Settings\ConfigureDocuments\DocumentCustomization->Voucher->Views->Logins,"mSec_Users
cCore_VoucherViews_0",iUserId,iUserId                                                   iViewId
,,,,,,,
Transaction Tables:,,,,,,,
Serial No,Object Name,Module,Objective,Document that updates the table,Linked Tables, Identity Field,Linked Field
1,tCore_abals_0,ALL-Transaction,"Depreciation related details of financial accounting.Fields in this table are iAccount,iDate,iDep,mDr,mCr",\FixedAsset\PostDepreciationEnteries,,iAccount,
2,tCore_Account_AuditLogDetails,ALL-Transaction,Audit Logs of accounts master.,\Home\Masters\Account                                                                                                                                              Option to enable audit log for any field can be availed using the following path: \Home\Settings\CustomizeMasters->Select any master->Customize->Select Any field->Edit->Properties->Check AuditTrail CheckBox,tCore_MasterAuditLog                                           cCore_Fields ,iAuditId,iAuditId                                        iFieldId
3,tCore_AllocateUser_0,ALL-Transaction,Stock allocation header data  assigned to users ,,,iHeaderId,
4,tCore_AllocateUserDetails_0,ALL-Transaction,Stock allocation body data  assigned to users ,,,iTransactionId,
5,tCore_AssignPDCDiscountDetails,ALL-Transaction,Details of Post Dated Cheque  discounting ,\Financials\Reports\CashAndBankBooks\ChequeDiscounting,,iBankActId,
6,tCore_Authorizations_0,ALL-Transaction,"voucher based authorizations based on roleid, istage",\Home\Settings\TransactionAuthorization                                                                   \Home\Settings\MasterAuthorization        ,,iAuthorizationId,
7,tCore_BarCodeBody,ALL-Transaction,barcode body defination,\Home\Masters\Product\BarcodeDefination,tCore_BarCodeHeader ,iBodyId,sTemplateId
8,tCore_BarCodeHeader,ALL-Transaction,"BarCode defination data template name details, etc",\Home\Masters\Product\BarcodeDefination,"tCore_BarCodeBody
tCore_BarCodePackData
tCore_BarCodeProduct",sTemplateId,sTemplateId
9,tCore_BarCodePackData,ALL-Transaction,Bar code pack data details ,\Home\Masters\Product\BarcodeDefination,tCore_BarCodeHeader ,iDataId,sTemplateId
10,tCore_BarCodePackField,ALL-Transaction,field details of barcode pack data ,\Home\Masters\Product\BarcodeDefination,,iBodyId,
11,tCore_BarCodeProduct,ALL-Transaction,table contains list of product id which have barcode and their respective templateid,\Home\Masters\Product\BarcodeDefination,tCore_BarCodeHeader,iProductId,sTemplateId
12,tCore_Batch_0,ALL-Transaction,batch numbers and ids assigned to products and their details,\Home\Settings\ConfigureTransactions\Preferences\Batches->Enable Batch Numbers->Post Transactions,"
tCore_Data_0 ",iBatchId,iBodyId
13,tCore_Bins_0,ALL-Transaction,Stores data of those transactions involving Bins,\Home\Settings\ConfigureTransactions\Preferences\Bins->Enable Bins->Post Transactions after assigning bins to warehouse and products,tCore_Data_0 ,iBinTransId,iBodyId
14,tCore_Bins_AuditLogDetails,ALL-Transaction,Audit log of bins masters,\Home\Masters\Bins,"tCore_MasterAuditLog 
cCore_Fields ",,iAuditId                                        iFeildId
15,tCore_BinsAlloc_0,ALL-Transaction,Stores bin allocation data,\Home\Masters\Bins,tCore_Bins_0 ,iBinTransId,iBinTransId
16,tCore_BPMonthlyDetails,ALL-Transaction,Stores monthly budget plan data,\Financials\FinalAccounts\BudgetPlanning,"
tCore_BPTypeDetails ",iBPDetailsId,iBPDetailsId
17,tCore_BPTypeDetails,ALL-Transaction,Stores budget plan type and revision details,\Financials\FinalAccounts\BudgetPlanning,"mCore_Account                                         tCore_BudgetRevision 
tCore_BPMonthlyDetails
tCore_BPWeeklyDetails",iBPDetailsId,iAccountId                                   iRevisionId                             iBPDetailsId              
18,tCore_BPWeeklyDetails,ALL-Transaction,Stores weekly budget plan data,\Financials\FinalAccounts\BudgetPlanning,tCore_BPTypeDetails ,iBPDetailsId,iBPDetailsId
19,tCore_BudgetPlanning,ALL-Transaction,Stores all infformation of the budget planning screen,\Financials\FinalAccounts\BudgetPlanning,tCore_BudgetRevision,iBudgetPlanId,
20,tCore_BudgetRevision,ALL-Transaction,Stores budget revision details,\Financials\FinalAccounts\BudgetPlanning,"tCore_BudgetPlanning 
tCore_BPTypeDetails",iRevisionId,iBudgetPlanId                              iRevisionId
21,tCore_CancelCheque_0,ALL-Transaction,Stores details of cheques that are cancelled,\Financials\Transactions\CashAndBank\CancelCheque,,iCancelChequeId,
22,tCore_CartonRFID_0,ALL-Transaction,Stores radio frequency identification data present on carton to extract product details that are contained by that carton,\Home\Settings\ConfigureDocuments\Preferences\RFID->Create template->Select related voucher->Settings->EnableRFID,,iId,
23,tCore_ChequeSeries_0,ALL-Transaction,Stores data provided in the cheque series screen,\Financials\Transactions\CashAndBank\DefineChequeSeries,,iChequeSeries,
24,tCore_City_AuditLogDetails,ALL-Transaction,Stores city audit log data,\Home\Masters\City,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                        iFeildId
25,tCore_Company_Details,ALL-Transaction,Stores company details data,\Home\Company\EditCompany,mCore_Company ,iCompanyId,iCompanyId
26,tCore_CostCenter_AuditLogDetails,ALL-Transaction,Table contains costcenter audit log details,\Home\Masters\CostCenter,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                        iFeildId
27,tCore_Country_AuditLogDetails,ALL-Transaction,Stores country masters audit logs,\Home\Masters\County,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                        iFeildId
28,tCore_CreditLimitAuthUsers,ALL-Transaction,Credit limit authorizations based on users,\Home\Settings\TransactionAuthorization,mCore_DefineCreditLimitByFATag ,iAuthUserId,iId
29,tCore_CTBodyTags,ALL-Transaction,Body tags and template details associated with recurring journals,\Financials\Transactions\AutoPostings\RecurringJournals,tCore_RJTemplateDetails_0 ,iTemplateDetailsId,iTemplateDetailsId
30,tCore_CTTags,ALL-Transaction,Table stores internal tags information for recurring journals,\Financials\Transactions\AutoPostings\RecurringJournals,tCore_RJTemplate_0 ,iTemplateId,iTemplateId
31,tCore_Data_0,ALL-Transaction,"Stores body data of transactions for current year such as Net amount, Book A/c ID, Default accounting tag's value,default inventory tag's value,etc",Select any voucher-> post transactions,"mCore_Account 
mCore_Account 
mCore_Department 
tCore_Header_0 
mCore_Department                                                                      This table is referenced by multiple tables. The following are prominenetly used transaction related tables referencing this table:                                        tCore_Batch_0                                                                             tCore_Bin_0                                                                    tCore_Data_FX_0                                                            tCore_Data_Tags_0                                                               tCore_Refrn_0                                                              tCore_Indta_0                                                                   tCore_TransAuth_0",iBodyId                                   iTransactionId,iBookNo                                          iCode                                                 iFaTag                                              IheaderId                                     iInvTag                                           iBodyId      
32,tCore_Data_FX_0,ALL-Transaction,Stores currency related data.Table gets populated with respect to base currency if currency Is not activated for the company The transaction currency value is mapped against the base currency value for each voucher row,Select any voucher-> post transactions,"tCore_Data_0 
mCore_Currency ",iBodyId,iBodyId                                      iCurrencyId
33,tCore_Data_Tags_0,ALL-Transaction,"Stores master tags information in transactions. When we define master dependency in document customization, This table stores that information transaction wise as it displays the value selected for that master. Default Accounting and Inventory tags are not stored in this table.",Select any voucher->Add Master Dependency -> post transactions,tCore_Data_0 ,iBodyId,iBodyId
34,tCore_Data1023_0,ALL-Transaction,Stock Adjustment related body data,\Stock adjustment->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
35,tCore_Data1024_0,ALL-Transaction,Stores Receipts from production body data,\receipts from production->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
36,tCore_Data1056_0,ALL-Transaction,Stores Returns from Shop Floor body data,\returns from shop floor->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
37,tCore_Data1280_0,ALL-Transaction,Stores Goods Receipt Uncosted body data ,\material receipts note->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
38,tCore_Data1536_0,ALL-Transaction,Stores Job Work Receipts body data ,\job work receipts->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
39,tCore_Data1792_0,ALL-Transaction,Stores sales returns body data ,\sales returns->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
40,tCore_Data2_0,ALL-Transaction,Stores body data information related to TDS etc ,\Financials\Transactions\Journals\TDS JV,"
tCore_Data_0 ",iBodyId                                           mTDS,iBodyId
41,tCore_Data2048_0,ALL-Transaction,Stores body data for excesses in stocks,\excesses in stocks->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
42,tCore_Data2304_0,ALL-Transaction,Stores body data for purchase quotations,\purchase quatations->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
43,tCore_Data256_0,ALL-Transaction,Stores body data for opening balances ,\opening balances->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
44,tCore_Data2560_0,ALL-Transaction,Stores body data for purchase orders,\purchase orders->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
45,tCore_Data2561_0,ALL-Transaction,Stores body data for job orders,\job orders->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
46,tCore_Data2816_0,ALL-Transaction,Stores body data for production process,\production process->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
47,tCore_Data3072_0,ALL-Transaction,Stores body data for stocks transfer,\stock transfer->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
48,tCore_Data3328_0,ALL-Transaction,Stores body data for sales invoice,\sales invoice->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
49,tCore_Data3329_0,ALL-Transaction,Stores body data for cash sales ,\cash sales->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
50,tCore_Data3330_0,ALL-Transaction,Stores body data for hire purchase sales,\hire purchase sales->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
51,tCore_Data3331_0,ALL-Transaction,Stores body data for POS sales,\POS sales ->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
52,tCore_Data3584_0,ALL-Transaction,Stores body data for non-standard journal entries,\non->Post Transactionstandard journal entries->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
53,tCore_Data3585_0,ALL-Transaction,Stores body data for Inter-Departmental JV,\inter->Post Transactiondepartmental JV->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
54,tCore_Data3586_0,ALL-Transaction,Stores body data for Debit Notes (Linewise),\debit notes(linewise)->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
55,tCore_Data3587_0,ALL-Transaction,Stores body data Credit Notes (Linewise)/Payroll,\credit notes(linewise)\payroll->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
56,tCore_Data3588_0,ALL-Transaction,Stores body data for Fixed Asset Depreciation Voucher,\fixed asset depreciation voucher->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
57,tCore_Data3840_0,ALL-Transaction,Stores body data for debit note,\debit note->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
58,tCore_Data4096_0,ALL-Transaction,Stores body data for credit note,\credit note->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
59,tCore_Data4097_0,ALL-Transaction,Stores body data for payroll posting,\payroll posting->Post Transaction,"
tCore_Data_0 ",iBodyId,iBodyId
